Element,Facet,X1,Y1,X2,Y2,time_step_0 - q''x,time_step_0 - q''y,time_step_0 - q'',time_step_1 - q''x,time_step_1 - q''y,time_step_1 - q''
26,3,0.7333333333333333,0.13333333333333333,0.7333333333333333,0.06666666666666668,0.0,-0.15625,0.15625,0.0,-0.15625,0.15625
27,0,0.8,0.06666666666666668,0.8666666666666667,0.06666666666666668,100000000000000.14,0.3330669073875473,100000000000000.14,100000000000000.14,0.33306690738754735,100000000000000.14
27,1,0.8666666666666667,0.06666666666666668,0.8666666666666667,0.13333333333333333,-0.0,-0.03125,0.03125,-0.0,-0.03125,0.03125
27,2,0.8666666666666667,0.13333333333333333,0.8,0.13333333333333333,100000000000000.05,-0.33306690738754713,100000000000000.05,100000000000000.03,-0.33306690738754713,100000000000000.03
27,3,0.8,0.13333333333333333,0.8,0.06666666666666668,0.0,-0.0,0.0,0.0,-0.0,0.0
28,0,0.8666666666666667,0.06666666666666668,0.9333333333333332,0.06666666666666668,100000000000000.14,-0.0,100000000000000.14,100000000000000.14,-0.0,100000000000000.14
28,1,0.9333333333333332,0.06666666666666668,0.9333333333333332,0.13333333333333333,0.0,0.03125,0.03125,0.0,0.03125,0.03125
28,2,0.9333333333333332,0.13333333333333333,0.8666666666666667,0.13333333333333333,100000000000000.2,0.0,100000000000000.2,100000000000000.19,0.0,100000000000000.19
28,3,0.8666666666666667,0.13333333333333333,0.8666666666666667,0.06666666666666668,0.0,-0.234375,0.234375,0.0,-0.234375,0.234375
29,0,0.9333333333333332,0.06666666666666668,1.0,0.06666666666666668,100000000000000.08,-0.33306690738754713,100000000000000.08,100000000000000.08,-0.33306690738754713,100000000000000.08
29,1,1.0,0.06666666666666668,1.0,0.13333333333333333,0.0,0.078125,0.078125,0.0,0.078125,0.078125
29,2,1.0,0.13333333333333333,0.9333333333333332,0.13333333333333333,100000000000000.28,0.3330669073875479,100000000000000.28,100000000000000.27,0.3330669073875479,100000000000000.27
29,3,0.9333333333333332,0.13333333333333333,0.9333333333333332,0.06666666666666668,0.0,-0.109375,0.109375,0.0,-0.109375,0.109375
